hour,day_of_week,is_weekend,time_since_last,event,events_last_hour,events_last_30min
9,0,0,0.2,1,115.0,41.0
9,0,0,0.06666666666666667,1,116.0,42.0
9,0,0,0.06666666666666667,1,117.0,43.0
9,0,0,0.06666666666666667,1,118.0,44.0
9,0,0,0.06666666666666667,1,119.0,45.0
9,0,0,1.3333333333333333,1,120.0,46.0
9,0,0,0.06666666666666667,1,121.0,47.0
9,0,0,2.683333333333333,1,107.0,48.0
9,0,0,0.06666666666666667,1,108.0,49.0
9,0,0,0.05,1,109.0,50.0
9,0,0,0.7666666666666667,1,107.0,51.0
9,0,0,0.08333333333333333,1,108.0,52.0
10,0,0,0.9833333333333333,1,106.0,53.0
10,0,0,0.05,1,107.0,54.0
10,0,0,0.06666666666666667,1,108.0,55.0
10,0,0,0.06666666666666667,1,109.0,56.0
10,0,0,0.06666666666666667,1,110.0,57.0
10,0,0,0.08333333333333333,1,111.0,58.0
10,0,0,0.38333333333333336,1,112.0,59.0
10,0,0,0.08333333333333333,1,113.0,60.0
10,0,0,0.06666666666666667,1,114.0,61.0
10,0,0,0.06666666666666667,1,115.0,62.0
10,0,0,1.85,1,116.0,55.0
10,0,0,2.5,1,99.0,56.0
10,0,0,0.05,1,100.0,57.0
10,0,0,0.06666666666666667,1,99.0,57.0
10,0,0,19.533333333333335,1,67.0,22.0
10,0,0,0.06666666666666667,1,68.0,23.0
10,0,0,1.0,1,69.0,22.0
10,0,0,0.06666666666666667,1,70.0,23.0
10,0,0,0.08333333333333333,1,71.0,24.0
10,0,0,0.06666666666666667,1,72.0,25.0
10,0,0,0.06666666666666667,1,73.0,26.0
10,0,0,0.06666666666666667,1,74.0,27.0
10,0,0,0.08333333333333333,1,75.0,28.0
10,0,0,0.08333333333333333,1,76.0,29.0
10,0,0,5.75,1,70.0,15.0
10,0,0,23.266666666666666,1,31.0,10.0
10,0,0,0.06666666666666667,1,32.0,11.0
10,0,0,0.06666666666666667,1,33.0,12.0
10,0,0,0.06666666666666667,1,34.0,13.0
11,0,0,21.166666666666668,1,16.0,5.0
12,0,0,50.13333333333333,1,2.0,1.0
12,0,0,0.06666666666666667,1,3.0,2.0
12,0,0,0.08333333333333333,1,4.0,3.0
12,0,0,2.033333333333333,1,5.0,4.0
12,0,0,0.06666666666666667,1,6.0,5.0
12,0,0,0.16666666666666666,1,7.0,6.0
12,0,0,0.05,1,8.0,7.0
12,0,0,0.5333333333333333,1,9.0,8.0
12,0,0,0.06666666666666667,1,10.0,9.0
12,0,0,0.55,1,11.0,10.0
12,0,0,0.06666666666666667,1,12.0,11.0
12,0,0,0.25,1,13.0,12.0
12,0,0,0.08333333333333333,1,14.0,13.0
12,0,0,3.216666666666667,1,15.0,14.0
12,0,0,0.05,1,16.0,15.0
12,0,0,12.966666666666667,1,16.0,16.0
12,0,0,0.06666666666666667,1,17.0,17.0
12,0,0,2.45,1,18.0,18.0
12,0,0,0.06666666666666667,1,19.0,19.0
12,0,0,0.06666666666666667,1,20.0,20.0
12,0,0,0.11666666666666667,1,21.0,21.0
12,0,0,0.06666666666666667,1,22.0,22.0
12,0,0,0.1,1,23.0,23.0
12,0,0,0.05,1,24.0,24.0
12,0,0,0.06666666666666667,1,25.0,25.0
12,0,0,0.06666666666666667,1,26.0,26.0
12,0,0,4.05,1,27.0,27.0
12,0,0,0.1,1,28.0,28.0
12,0,0,0.7833333333333333,1,29.0,29.0
12,0,0,0.05,1,30.0,30.0
12,0,0,1.3333333333333333,1,31.0,31.0
12,0,0,0.13333333333333333,1,32.0,32.0
12,0,0,0.15,1,33.0,33.0
12,0,0,0.05,1,34.0,33.0
12,0,0,0.13333333333333333,1,35.0,32.0
12,0,0,5.583333333333333,1,36.0,23.0
12,0,0,0.06666666666666667,1,37.0,24.0
12,0,0,14.3,1,38.0,23.0
12,0,0,0.4,1,39.0,22.0
12,0,0,0.06666666666666667,1,40.0,23.0
12,0,0,0.1,1,41.0,24.0
12,0,0,0.36666666666666664,1,42.0,25.0
12,0,0,0.5833333333333334,1,43.0,26.0
12,0,0,0.8333333333333334,1,44.0,27.0
12,0,0,0.06666666666666667,1,45.0,28.0
12,0,0,0.06666666666666667,1,46.0,29.0
12,0,0,0.13333333333333333,1,47.0,30.0
13,0,0,0.06666666666666667,1,48.0,30.0
13,0,0,0.5333333333333333,1,49.0,24.0
13,0,0,0.06666666666666667,1,50.0,24.0
13,0,0,4.116666666666666,1,51.0,24.0
13,0,0,0.05,1,52.0,24.0
13,0,0,54.05,1,11.0,1.0
13,0,0,0.08333333333333333,1,11.0,2.0
13,0,0,0.08333333333333333,1,12.0,3.0
14,0,0,39.233333333333334,1,4.0,1.0
14,0,0,0.06666666666666667,1,5.0,2.0
14,0,0,0.05,1,6.0,3.0
14,0,0,0.05,1,7.0,4.0
14,0,0,0.25,1,8.0,5.0
14,0,0,0.05,1,9.0,6.0
14,0,0,0.06666666666666667,1,10.0,7.0
14,0,0,1.7666666666666666,1,11.0,8.0
14,0,0,0.06666666666666667,1,12.0,9.0
14,0,0,0.18333333333333332,1,13.0,10.0
14,0,0,0.08333333333333333,1,14.0,11.0
14,0,0,0.1,1,15.0,12.0
14,0,0,0.11666666666666667,1,16.0,13.0
14,0,0,0.1,1,17.0,14.0
14,0,0,7.516666666666667,1,18.0,15.0
14,0,0,0.06666666666666667,1,19.0,16.0
14,0,0,0.08333333333333333,1,20.0,17.0
14,0,0,0.26666666666666666,1,21.0,18.0
14,0,0,0.06666666666666667,1,22.0,19.0
14,0,0,0.05,1,23.0,20.0
14,0,0,0.8166666666666667,1,24.0,21.0
14,0,0,0.06666666666666667,1,25.0,22.0
14,0,0,0.06666666666666667,1,26.0,23.0
14,0,0,1.4333333333333333,1,27.0,24.0
14,0,0,0.06666666666666667,1,28.0,25.0
14,0,0,0.06666666666666667,1,29.0,26.0
14,0,0,1.4333333333333333,1,30.0,27.0
