hour,day_of_week,is_weekend,time_since_last,events_last_hour,avg_interval_last_hour,minutes_until_next
15,4,0,12.766666666666667,33.0,1.8257575757575757,1.3833333333333333
15,4,0,1.3833333333333333,31.0,1.9537634408602151,2.1666666666666665
15,4,0,2.1666666666666665,27.0,2.231481481481482,61.43333333333333
16,4,0,61.43333333333333,1.0,61.43333333333333,30.366666666666667
16,4,0,30.366666666666667,2.0,45.9,3.1333333333333333
16,4,0,3.1333333333333333,3.0,31.644444444444446,2.7666666666666666
16,4,0,2.7666666666666666,4.0,24.425,2.3
16,4,0,2.3,5.0,20.0,4.616666666666666
16,4,0,4.616666666666666,6.0,17.43611111111111,14.133333333333333
17,4,0,14.133333333333333,7.0,16.964285714285715,3.5166666666666666
17,4,0,3.5166666666666666,7.0,8.690476190476192,0.3333333333333333
17,4,0,0.3333333333333333,8.0,7.645833333333333,0.35
17,4,0,0.35,9.0,6.8351851851851855,0.5833333333333334
17,4,0,0.5833333333333334,10.0,6.21,1.6333333333333333
17,4,0,1.6333333333333333,11.0,5.793939393939394,0.85
17,4,0,0.85,12.0,5.381944444444444,45.983333333333334
17,4,0,45.983333333333334,8.0,8.422916666666667,44.86666666666667
18,4,0,44.86666666666667,2.0,45.425,0.31666666666666665
18,4,0,0.31666666666666665,3.0,30.38888888888889,2.25
18,4,0,2.25,4.0,23.354166666666668,3.65
18,4,0,3.65,5.0,19.413333333333334,6.5
18,4,0,6.5,6.0,17.26111111111111,0.3333333333333333
18,4,0,0.3333333333333333,7.0,14.842857142857143,0.31666666666666665
18,4,0,0.31666666666666665,8.0,13.027083333333334,0.35
18,4,0,0.35,9.0,11.618518518518519,0.3333333333333333
18,4,0,0.3333333333333333,10.0,10.49,1.0666666666666667
18,4,0,1.0666666666666667,11.0,9.633333333333333,0.31666666666666665
18,4,0,0.31666666666666665,11.0,5.4818181818181815,10.216666666666667
19,4,0,10.216666666666667,12.0,5.876388888888889,4.1
19,4,0,4.1,13.0,5.739743589743591,1.5666666666666667
19,4,0,1.5666666666666667,14.0,5.441666666666667,0.8166666666666667
19,4,0,0.8166666666666667,15.0,5.133333333333334,4.416666666666667
19,4,0,4.416666666666667,16.0,5.088541666666667,0.5
19,4,0,0.5,17.0,4.818627450980393,3.2
19,4,0,3.2,18.0,4.7287037037037045,1.0166666666666666
19,4,0,1.0166666666666666,19.0,4.533333333333334,9.133333333333333
19,4,0,9.133333333333333,20.0,4.763333333333334,19.466666666666665
19,4,0,19.466666666666665,17.0,3.7441176470588236,8.05
20,4,0,8.05,11.0,5.680303030303031,3.5
20,4,0,3.5,12.0,5.498611111111111,43.05
20,4,0,43.05,4.0,18.516666666666666,9.433333333333334
20,4,0,9.433333333333334,4.0,16.008333333333333,8.083333333333334
21,4,0,8.083333333333334,3.0,20.188888888888886,9.583333333333334
21,4,0,9.583333333333334,4.0,17.5375,0.6833333333333333
21,4,0,0.6833333333333333,5.0,14.166666666666666,7.266666666666667
21,4,0,7.266666666666667,6.0,13.016666666666666,0.6
21,4,0,0.6,7.0,11.242857142857144,14.833333333333334
21,4,0,14.833333333333334,8.0,11.691666666666666,1.5
21,4,0,1.5,9.0,10.559259259259258,0.3333333333333333
21,4,0,0.3333333333333333,10.0,9.536666666666665,0.5833333333333334
21,4,0,0.5833333333333334,11.0,8.722727272727273,19.15
22,4,0,19.15,10.0,6.261666666666666,1.05
22,4,0,1.05,11.0,5.787878787878788,18.95
22,4,0,18.95,9.0,7.140740740740741,7.933333333333334
22,4,0,7.933333333333334,8.0,8.041666666666668,6.183333333333334
22,4,0,6.183333333333334,9.0,7.8351851851851855,29.766666666666666
23,4,0,29.766666666666666,4.0,15.708333333333332,117.6
1,5,1,117.6,1.0,117.6,0.31666666666666665
1,5,1,0.31666666666666665,2.0,58.95833333333333,0.45
1,5,1,0.45,3.0,39.455555555555556,43.06666666666667
1,5,1,43.06666666666667,4.0,40.358333333333334,89.8
3,5,1,89.8,1.0,89.8,172.01666666666668
6,5,1,172.01666666666668,1.0,172.01666666666668,138.91666666666666
8,5,1,138.91666666666666,1.0,138.91666666666666,31.25
8,5,1,31.25,2.0,85.08333333333333,0.8166666666666667
8,5,1,0.8166666666666667,3.0,56.99444444444444,6.616666666666666
9,5,1,6.616666666666666,4.0,44.4,0.4166666666666667
9,5,1,0.4166666666666667,5.0,35.60333333333333,1.1333333333333333
9,5,1,1.1333333333333333,6.0,29.85833333333333,0.43333333333333335
9,5,1,0.43333333333333335,7.0,25.6547619047619,0.4
9,5,1,0.4,8.0,22.497916666666665,0.6166666666666667
9,5,1,0.6166666666666667,9.0,20.066666666666666,0.8
9,5,1,0.8,10.0,18.139999999999997,2.783333333333333
9,5,1,2.783333333333333,11.0,16.743939393939396,0.35
9,5,1,0.35,12.0,15.377777777777778,0.3333333333333333
9,5,1,0.3333333333333333,13.0,14.22051282051282,0.55
9,5,1,0.55,14.0,13.244047619047619,1.4333333333333333
9,5,1,1.4333333333333333,15.0,12.456666666666667,63.75
10,5,1,63.75,1.0,63.75,12.616666666666667
10,5,1,12.616666666666667,2.0,38.18333333333334,0.35
10,5,1,0.35,3.0,25.572222222222223,34.15
11,5,1,34.15,4.0,27.71666666666667,0.31666666666666665
11,5,1,0.31666666666666665,5.0,22.236666666666668,1.0166666666666666
11,5,1,1.0166666666666666,6.0,18.7,0.7166666666666667
11,5,1,0.7166666666666667,7.0,16.130952380952383,0.7833333333333333
11,5,1,0.7833333333333333,8.0,14.2125,5.35
11,5,1,5.35,9.0,13.227777777777778,8.566666666666666
11,5,1,8.566666666666666,9.0,7.0962962962962965,1.8833333333333333
11,5,1,1.8833333333333333,10.0,6.575,2.95
11,5,1,2.95,11.0,6.245454545454546,0.9833333333333333
11,5,1,0.9833333333333333,12.0,5.8069444444444445,0.9833333333333333
11,5,1,0.9833333333333333,13.0,5.435897435897436,0.3333333333333333
11,5,1,0.3333333333333333,14.0,5.071428571428571,1.3166666666666667
11,5,1,1.3166666666666667,15.0,4.821111111111111,0.5
11,5,1,0.5,15.0,4.013333333333334,1.5333333333333334
11,5,1,1.5333333333333334,15.0,4.092222222222222,0.6833333333333333
11,5,1,0.6833333333333333,16.0,3.8791666666666664,0.3333333333333333
11,5,1,0.3333333333333333,17.0,3.6705882352941175,0.43333333333333335
11,5,1,0.43333333333333335,18.0,3.4907407407407405,3.7
11,5,1,3.7,19.0,3.501754385964912,0.35
11,5,1,0.35,20.0,3.3441666666666663,0.31666666666666665
11,5,1,0.31666666666666665,21.0,3.2,0.4
11,5,1,0.4,22.0,3.0727272727272723,0.31666666666666665
11,5,1,0.31666666666666665,23.0,2.9528985507246377,0.43333333333333335
11,5,1,0.43333333333333335,24.0,2.8479166666666664,0.45
11,5,1,0.45,25.0,2.752,0.31666666666666665
11,5,1,0.31666666666666665,26.0,2.658333333333333,0.31666666666666665
11,5,1,0.31666666666666665,27.0,2.571604938271605,0.4
11,5,1,0.4,28.0,2.494047619047619,0.4
11,5,1,0.4,29.0,2.4218390804597703,0.31666666666666665
11,5,1,0.31666666666666665,30.0,2.3516666666666666,1.0833333333333333
11,5,1,1.0833333333333333,31.0,2.310752688172043,1.65
11,5,1,1.65,32.0,2.2901041666666666,6.45
11,5,1,6.45,33.0,2.416161616161616,0.6166666666666667
11,5,1,0.6166666666666667,34.0,2.363235294117647,0.31666666666666665
11,5,1,0.31666666666666665,35.0,2.304761904761905,0.55
11,5,1,0.55,36.0,2.2560185185185184,0.3333333333333333
11,5,1,0.3333333333333333,37.0,2.204054054054054,0.5166666666666667
11,5,1,0.5166666666666667,38.0,2.1596491228070174,0.7333333333333333
11,5,1,0.7333333333333333,39.0,2.123076923076923,0.3333333333333333
11,5,1,0.3333333333333333,40.0,2.078333333333333,0.31666666666666665
11,5,1,0.31666666666666665,41.0,2.035365853658537,2.9166666666666665
11,5,1,2.9166666666666665,42.0,2.056349206349206,1.1166666666666667
11,5,1,1.1166666666666667,43.0,2.034496124031008,0.45
11,5,1,0.45,44.0,1.9984848484848485,2.9833333333333334
12,5,1,2.9833333333333334,45.0,2.0203703703703706,2.0
12,5,1,2.0,46.0,2.0199275362318843,0.35
12,5,1,0.35,47.0,1.9843971631205675,1.15
12,5,1,1.15,47.0,1.2822695035460994,0.31666666666666665
12,5,1,0.31666666666666665,47.0,1.2822695035460994,0.3333333333333333
12,5,1,0.3333333333333333,48.0,1.2625,1.3166666666666667
12,5,1,1.3166666666666667,47.0,1.2804964539007093,1.4166666666666667
12,5,1,1.4166666666666667,47.0,1.2939716312056737,0.31666666666666665
12,5,1,0.31666666666666665,48.0,1.273611111111111,0.31666666666666665
12,5,1,0.31666666666666665,49.0,1.254081632653061,0.31666666666666665
12,5,1,0.31666666666666665,50.0,1.2353333333333334,0.31666666666666665
12,5,1,0.31666666666666665,51.0,1.2173202614379084,0.35
12,5,1,0.35,52.0,1.2006410256410256,0.31666666666666665
12,5,1,0.31666666666666665,53.0,1.1839622641509433,1.8333333333333333
12,5,1,1.8333333333333333,54.0,1.1959876543209875,4.75
12,5,1,4.75,54.0,1.1848765432098765,0.9833333333333333
12,5,1,0.9833333333333333,55.0,1.1812121212121212,1.3666666666666667
12,5,1,1.3666666666666667,56.0,1.1845238095238098,0.35
12,5,1,0.35,57.0,1.1698830409356726,3.2333333333333334
12,5,1,3.2333333333333334,57.0,1.0763157894736843,0.9833333333333333
12,5,1,0.9833333333333333,57.0,1.0605263157894738,0.45
12,5,1,0.45,58.0,1.05,0.6833333333333333
12,5,1,0.6833333333333333,59.0,1.0437853107344632,0.8666666666666667
12,5,1,0.8666666666666667,60.0,1.0408333333333333,0.5166666666666667
12,5,1,0.5166666666666667,60.0,1.0002777777777778,1.8166666666666667
12,5,1,1.8166666666666667,60.0,1.0141666666666667,2.4833333333333334
12,5,1,2.4833333333333334,57.0,1.056140350877193,0.6333333333333333
12,5,1,0.6333333333333333,58.0,1.0488505747126435,0.7333333333333333
12,5,1,0.7333333333333333,58.0,1.0350574712643679,0.6333333333333333
12,5,1,0.6333333333333333,59.0,1.0282485875706213,3.3666666666666667
12,5,1,3.3666666666666667,57.0,1.0979532163742691,2.8833333333333333
12,5,1,2.8833333333333333,53.0,1.139308176100629,0.3
12,5,1,0.3,53.0,1.1367924528301887,29.7
